Time,Amount(BTC)
2011-07-18,11.76481062
2011-07-19,10.64
2011-07-20,12.80420773
2011-07-21,-30.40603098
2011-07-22,6.56492036
2011-07-23,6.07313581
2011-07-24,1099.660425
2011-07-25,-49.48476855
2011-07-26,-437.6260386
2011-07-27,5.00984921
2011-07-28,6578.865551
2011-07-29,971.1492522
2011-07-30,16.46068918
2011-07-31,55.8027423
2011-08-01,35.99091122
2011-08-02,15.01606731
2011-08-03,18.85994854
2011-08-04,135.1457828
2011-08-05,30.2593492
2011-08-06,2719.666909
2011-08-07,21.65602774
2011-08-08,46851.44846
2011-08-09,464.5072864
2011-08-10,1004.686599
2011-08-11,-279.946179
2011-08-12,150.3337741
2011-08-13,18.71271873
2011-08-14,19.99076069
2011-08-15,1007.243883
2011-08-16,107.3142467
2011-08-17,46.86047317
2011-08-18,33.14468403
2011-08-19,-43.66630671
2011-08-20,24.61646182
2011-08-21,19.1788795
2011-08-22,1023.847348
2011-08-23,78.3146617
2011-08-24,37.09420373
2011-08-25,-212.3413679
2011-08-26,-138.2318539
2011-08-27,13.80074526
2011-08-28,7.24946157
2011-08-29,1025.108376
2011-08-30,-193.5045881
2011-08-31,1201.573806
2011-09-01,44.73640282
2011-09-02,33.08029597
2011-09-03,-16.81397821
2011-09-04,-94.25270615
2011-09-05,14.13709408
2011-09-06,64.70524405
2011-09-07,457.5370415
2011-09-08,19.5256611
2011-09-09,-121.9130348
2011-09-10,16.86922636
2011-09-11,12.43345141
2011-09-12,-0.07850449
2011-09-13,14.71584101
2011-09-14,-13.43580293
2011-09-15,61.75828636
2011-09-16,87.6711782
2011-09-17,-24.25326295
2011-09-18,1035.408617
2011-09-19,15.62810192
2011-09-20,10.91851648
2011-09-21,19.79532678
2011-09-22,-89.11241757
2011-09-23,-105.97
2011-09-24,1102.067566
2011-09-25,70.902752
2011-09-26,-47.65568082
2011-09-27,971.6999816
2011-09-28,204.1609736
2011-09-29,24.4384524
2011-09-30,167.205391
2011-10-01,14.04996155
2011-10-02,521.859313
2011-10-03,176.430587
2011-10-04,62.38214
2011-10-05,16.65670045
2011-10-06,7.58838441
2011-10-07,1147.651466
2011-10-08,-108.453332
2011-10-09,37.32701821
2011-10-10,-0.5094257
2011-10-11,23.23997379
2011-10-12,42.5937025
2011-10-13,15.7133278
2011-10-14,31.15636476
2011-10-15,898.8258057
2011-10-16,-70.50164774
2011-10-17,85.91988151
2011-10-18,342.9967205
2011-10-19,489.2433519
2011-10-20,37.88267172
2011-10-21,-26.93106469
2011-10-22,7.04911263
2011-10-23,33.20188344
2011-10-24,11.44647889
2011-10-25,6.51734966
2011-10-26,152.5435009
2011-10-27,85.53552144
2011-10-28,-100.0139349
2011-10-29,-530.2156515
2011-10-30,80.18451097
2011-10-31,32.90050668
2011-11-01,-72.97191558
2011-11-02,18.17824458
2011-11-03,14.04057326
2011-11-04,28.9242573
2011-11-05,38.06822782
2011-11-06,15.04952892
2011-11-07,1004.693066
2011-11-08,53.80364398
2011-11-09,19.84084732
2011-11-10,12.81824745
2011-11-11,-70.83430347
2011-11-12,801.4530139
2011-11-13,10.60789786
2011-11-14,14.99098466
2011-11-15,1056.381313
2011-11-16,120.304867
2011-11-17,930.4073936
2011-11-18,1421.264856
2011-11-19,352.3217594
2011-11-20,124.7618783
2011-11-21,96.18121145
2011-11-22,616.6912941
2011-11-23,20.07887711
2011-11-24,29.5413059
2011-11-25,9.62887251
2011-11-26,11.9997917
2011-11-27,9.84409424
2011-11-28,1007.227812
2011-11-29,-469.0213735
2011-11-30,492.205162
2011-12-01,2562.096046
2011-12-02,119.205354
2011-12-03,26.52161683
2011-12-04,-77.9577559
2011-12-05,-277.2644947
2011-12-06,183.8106465
2011-12-07,-476.3365892
2011-12-08,31.63905994
2011-12-09,21.24861679
2011-12-10,545.4037247
2011-12-11,-925.8519949
2011-12-12,525.3385654
2011-12-13,375.8772984
2011-12-14,1037.597688
2011-12-15,108.9936939
2011-12-16,13.55459678
2011-12-17,33.44436905
2011-12-18,46.07328568
2011-12-19,325.3163964
2011-12-20,44.71501702
2011-12-21,806.2838064
2011-12-22,-33.21384113
2011-12-23,516.3485581
2011-12-24,52.16720853
2011-12-25,-1030.934345
2011-12-26,-485.1612476
2011-12-27,169.3174821
2011-12-28,10.57348925
2011-12-29,43.12973343
2011-12-30,12.27286916
2011-12-31,38.42543627
2012-01-01,22.41244527
2012-01-02,-311.9686884
2012-01-03,-10.25443193
2012-01-04,151.4530911
2012-01-05,-6.68175584
2012-01-06,25.56812817
2012-01-07,23.52653283
2012-01-08,1069.03048
2012-01-09,43.18771416
2012-01-10,12.79992779
2012-01-11,13.62226375
2012-01-12,1017.353424
2012-01-13,-17.04787274
2012-01-14,22.29992747
2012-01-15,19.1014627
2012-01-16,20.372962
2012-01-17,18.88901866
2012-01-18,113.2631397
2012-01-19,16.46023077
2012-01-20,342.5359371
2012-01-21,111.6590077
2012-01-22,6.18545157
2012-01-23,105.5363813
2012-01-24,-68.07006915
2012-01-25,123.3980412
2012-01-26,418.0278994
2012-01-27,26.82256702
2012-01-28,77.29049468
2012-01-29,0.48335409
2012-01-30,29.47009246
2012-01-31,-33.98664239
2012-02-01,504.174855
2012-02-02,12.16123323
2012-02-03,16.55115537
2012-02-04,12.33627744
2012-02-05,23.41143556
2012-02-06,11.84541784
2012-02-07,14.8214867
2012-02-08,150.3681342
2012-02-09,36.95659876
2012-02-10,637.6431517
2012-02-11,-38.13358324
2012-02-12,112.6867024
2012-02-13,110.5363743
2012-02-14,404.3408056
2012-02-15,47.11335702
2012-02-16,588.6172492
2012-02-17,9.89751305
2012-02-18,14.24663974
2012-02-19,299.023631
2012-02-20,-24.70529402
2012-02-21,18.85869057
2012-02-22,15.68726507
2012-02-23,9.21738593
2012-02-24,9.75297439
2012-02-25,18.26359259
2012-02-26,147.2725439
2012-02-27,470.9471612
2012-02-28,13.72210356
2012-02-29,1411.177876
2012-03-01,18.5013679
2012-03-02,804.2162847
2012-03-03,315.2744707
2012-03-04,10.68204624
2012-03-05,11.3301396
2012-03-06,14.71104128
2012-03-07,12.96772562
2012-03-08,19.03315103
2012-03-09,15.41085528
2012-03-10,505.6559048
2012-03-11,410.9558005
2012-03-12,21.06814822
2012-03-13,406.4674236
2012-03-14,16.07140156
2012-03-15,10.58239174
2012-03-16,10.36678722
2012-03-17,-487.7903868
2012-03-18,-488.7221749
2012-03-19,17.179388
2012-03-20,13.22711639
2012-03-21,2521.072705
2012-03-22,12.57232191
2012-03-23,1191.921536
2012-03-24,13.35371998
2012-03-25,10.78082378
2012-03-26,921.2785588
2012-03-27,412.1608003
2012-03-28,183.6112636
2012-03-29,0.30430286
2012-03-30,15.00878862
2012-03-31,14.97545101
2012-04-01,521.4774193
2012-04-02,396.9568298
2012-04-03,28.70992199
2012-04-04,10.9531212
2012-04-05,4.78866502
2012-04-06,5.09975207
2012-04-07,7.03967396
2012-04-08,513.3242111
2012-04-09,17.37537857
2012-04-10,14.88227935
2012-04-11,1036.071141
2012-04-12,22.38320425
2012-04-13,-71.97830406
2012-04-14,536.3930343
2012-04-15,-483.7188931
2012-04-16,27.28602852
2012-04-17,26.76146933
2012-04-18,-455.9496136
2012-04-19,47.72465338
2012-04-20,-125.5171259
2012-04-21,25.24070744
2012-04-22,-469.9580485
2012-04-23,178.6454676
2012-04-24,8.52988398
2012-04-25,46.76494625
2012-04-26,29.68448744
2012-04-27,39.71676678
2012-04-28,-471.3489447
2012-04-29,10.39609167
2012-04-30,194.7261318
2012-05-01,43.98502942
2012-05-02,41.74874876
2012-05-03,1475.053978
2012-05-04,38.3839661
2012-05-05,31.81887321
2012-05-06,80.95940648
2012-05-07,455.3103971
2012-05-08,44.15807172
2012-05-09,39.21710096
2012-05-10,8.35022104
2012-05-11,-423.7978687
2012-05-12,724.4737168
2012-05-13,14.78646412
2012-05-14,134.8874819
2012-05-15,6.70639567
2012-05-16,7.97171811
2012-05-17,-408.1737913
2012-05-18,38.03351282
2012-05-19,933.8530441
2012-05-20,-338.9715371
2012-05-21,100.9659049
2012-05-22,1037.99222
2012-05-23,34.40236165
2012-05-24,-7.70018711
2012-05-25,104.7488264
2012-05-26,14.03873297
2012-05-27,73.90778277
2012-05-28,314.0846436
2012-05-29,-440.6534888
2012-05-30,444.8644708
2012-05-31,749.170231
2012-06-01,147.802336
2012-06-02,28.4011868
2012-06-03,79.57297087
2012-06-04,885.6337338
2012-06-05,1335.859186
2012-06-06,53.23359266
2012-06-07,229.7462484
2012-06-08,919.7483462
2012-06-09,634.8403509
2012-06-10,12.60107571
2012-06-11,-500.5596718
2012-06-12,-423.1844562
2012-06-13,327.2477481
2012-06-14,496.3137329
2012-06-15,657.3230761
2012-06-16,204.2848759
2012-06-17,-416.9247303
2012-06-18,349.2975603
2012-06-19,915.862221
2012-06-20,-738.5435711
2012-06-21,800.3598792
2012-06-22,38.49725208
2012-06-23,0.35210916
2012-06-24,13.58870294
2012-06-25,1201.369694
2012-06-26,101.9183272
2012-06-27,54.19186333
2012-06-28,-906.4821733
2012-06-29,280.9722
2012-06-30,25.06594668
2012-07-01,59.0763371
2012-07-02,431.0292847
2012-07-03,4313.055165
2012-07-04,2832.647064
2012-07-05,221.6475355
2012-07-06,1505.040602
2012-07-07,24.79770102
2012-07-08,-535.9498022
2012-07-09,260.4622683
2012-07-10,49.86990699
2012-07-11,452.009658
2012-07-12,262.1325079
2012-07-13,793.0686526
2012-07-14,220.6911205
2012-07-15,527.1257049
2012-07-16,828.4702997
2012-07-17,115.3324884
2012-07-18,464.0307853
2012-07-19,153.8861395
2012-07-20,3509.279896
2012-07-21,-252.6192039
2012-07-22,-1004.482126
2012-07-23,28.97574212
2012-07-24,-889.1574613
2012-07-25,115.6193601
2012-07-26,41.67127904
2012-07-27,480.732376
2012-07-28,1241.794471
2012-07-29,54.04043703
2012-07-30,591.3461749
2012-07-31,-26.97309639
2012-08-01,32.12761356
2012-08-02,189.4766136
2012-08-03,1529.493591
2012-08-04,-977.0609179
2012-08-05,-27.64570132
2012-08-06,684.9912017
2012-08-07,173.1095305
2012-08-08,70.50614542
2012-08-09,262.8831629
2012-08-10,292.9856093
2012-08-11,7.50214663
2012-08-12,131.1103946
2012-08-13,37.40518973
2012-08-14,-16.4943841
2012-08-15,177.1342924
2012-08-16,241.2556454
2012-08-17,147.9903583
2012-08-18,76.74351346
2012-08-19,-1556.562658
2012-08-20,102.6707941
2012-08-21,772.7320783
2012-08-22,1127.569749
2012-08-23,77.51933174
2012-08-24,244.1197301
2012-08-25,524.3987601
2012-08-26,31.40904888
2012-08-27,37.97912637
2012-08-28,38.8636331
2012-08-29,15.276533
2012-08-30,88.00008984
2012-08-31,592.6249935
2012-09-01,636.5095623
2012-09-02,131.3486718
2012-09-03,393.3040466
2012-09-04,209.9077357
2012-09-05,1879.840534
2012-09-06,296.0590195
2012-09-07,1716.888006
2012-09-08,309.1368876
2012-09-09,305.9936607
2012-09-10,95.22403225
2012-09-11,92.9751056
2012-09-12,45.29645063
2012-09-13,115.7604979
2012-09-14,114.0988262
2012-09-15,92.26080359
2012-09-16,27.37853999
2012-09-17,132.9413666
2012-09-18,12.91522294
2012-09-19,596.3723951
2012-09-20,264.7080343
2012-09-21,984.7716429
2012-09-22,24.79656909
2012-09-23,0.6165794
2012-09-24,51.83097227
2012-09-25,1266.704182
2012-09-26,116.4144533
2012-09-27,98.83171775
2012-09-28,68.28641656
2012-09-29,89.11326403
2012-09-30,78.86116425
2012-10-01,656.6772666
2012-10-02,-913.7930379
2012-10-03,856.5729589
2012-10-04,-673.232371
2012-10-05,196.5120327
2012-10-06,250.9941119
2012-10-07,433.4428713
2012-10-08,183.2005238
2012-10-09,630.3487372
2012-10-10,909.4885769
2012-10-11,496.9337088
2012-10-12,2602.121683
2012-10-13,500.6084864
2012-10-14,69.56839291
2012-10-15,304.2084419
2012-10-16,134.9675822
2012-10-17,147.854428
2012-10-18,480.9244485
2012-10-19,59.89861806
2012-10-20,1036.350812
2012-10-21,204.8211996
2012-10-22,89.15037867
2012-10-23,68.29898621
2012-10-24,888.5082449
2012-10-25,234.7834646
2012-10-26,-1165.610699
2012-10-27,14.70643163
2012-10-28,130.8459743
2012-10-29,18.37057881
2012-10-30,171.4130586
2012-10-31,45.47907501
2012-11-01,-22.82142518
2012-11-02,109.9963826
2012-11-03,273.3509147
2012-11-04,207.516657
2012-11-05,-402.1745152
2012-11-06,105.0931869
2012-11-07,-129.7348885
2012-11-08,194.9110246
2012-11-09,181.3697651
2012-11-10,45.8183057
2012-11-11,96.85307783
2012-11-12,316.7993295
2012-11-13,173.9713183
2012-11-14,1191.559428
2012-11-15,300.6152424
2012-11-16,231.1897877
2012-11-17,24.68952802
2012-11-18,270.0107413
2012-11-19,111.3669329
2012-11-20,-918.9728596
2012-11-21,-11.9902219
2012-11-22,-1122.585991
2012-11-23,-105.7367868
2012-11-24,51.1160901
2012-11-25,-95.03796237
2012-11-26,247.80286
2012-11-27,45.04440513
2012-11-28,118.3096411
2012-11-29,15.02046492
2012-11-30,225.105413
2012-12-01,573.7617427
2012-12-02,38.03959182
2012-12-03,-527.9110433
2012-12-04,24649.66864
2012-12-05,124.410221
2012-12-06,-120.7059925
2012-12-07,39.33576715
2012-12-08,38.108397
2012-12-09,221.5206288
2012-12-10,1970.252248
2012-12-11,540.4502338
2012-12-12,39.51885916
2012-12-13,303.6862662
2012-12-14,642.1708526
2012-12-15,-28.49584745
2012-12-16,168.2707097
2012-12-17,702.5817411
2012-12-18,308.8637652
2012-12-19,29.35292314
2012-12-20,30.90169335
2012-12-21,207.8712568
2012-12-22,311.1660471
2012-12-23,152.7381716
2012-12-24,140.0360553
2012-12-25,73.828606
2012-12-26,116.6359862
2012-12-27,15.5218071
2012-12-28,83.53017113
2012-12-29,254.7681262
2012-12-30,18.66380911
2012-12-31,35.02277384
2013-01-01,-364.6523742
2013-01-02,91.17558366
2013-01-03,41.4938742
2013-01-04,8016.243139
2013-01-05,128.8464182
2013-01-06,-3.78385644
2013-01-07,6.08292567
2013-01-08,28.52905054
2013-01-09,769.3840558
2013-01-10,82.65480695
2013-01-11,-886.4139854
2013-01-12,19.20091219
2013-01-13,680.8583658
2013-01-14,34.39469017
2013-01-15,120.1977625
2013-01-16,36.76287561
2013-01-17,1112.008744
2013-01-18,1710.189795
2013-01-19,1909.259672
2013-01-20,244.205818
2013-01-21,414.2069963
2013-01-22,5581.847945
2013-01-23,644.1048413
2013-01-24,50.78976109
2013-01-25,260.9248493
2013-01-26,717.3030735
2013-01-27,786.3349019
2013-01-28,313.1173298
2013-01-29,102.6159376
2013-01-30,833.6792816
2013-01-31,592.4271613
2013-02-01,525.754778
2013-02-02,-410.1643796
2013-02-03,-449.0658161
2013-02-04,1226.018114
2013-02-05,339.1179713
2013-02-06,250.821932
2013-02-07,979.1335235
2013-02-08,708.3380747
2013-02-09,1380.174014
2013-02-10,13.87897355
2013-02-11,248.2343262
2013-02-12,-786.6847169
2013-02-13,212.5957658
2013-02-14,69.57248831
2013-02-15,438.8792808
2013-02-16,1466.490032
2013-02-17,16.41260397
2013-02-18,-341.0258717
2013-02-19,1428.27887
2013-02-20,210.8857351
2013-02-21,480.1879958
2013-02-22,176.4004803
2013-02-23,1602.968043
2013-02-24,483.4901478
2013-02-25,-678.2434967
2013-02-26,39.2457008
2013-02-27,122.6144332
2013-02-28,1238.177145
2013-03-01,575.2896113
2013-03-02,59.76294242
2013-03-03,86.14993572
2013-03-04,72.59350277
2013-03-05,898.6190627
2013-03-06,893.9443306
2013-03-07,938.1776108
2013-03-08,99.04973917
2013-03-09,9.50471786
2013-03-10,-953.6681997
2013-03-11,1507.067551
2013-03-12,-208.5399472
2013-03-13,1524.860321
2013-03-14,431.0529619
2013-03-15,-36.78813276
2013-03-16,-10.45550317
2013-03-17,100.3419768
2013-03-18,550.5012682
2013-03-19,33.87227263
2013-03-20,3883.475788
2013-03-21,-538.4483628
2013-03-22,1138.809847
2013-03-23,1343.510273
2013-03-24,653.2513578
2013-03-25,36.9879525
2013-03-26,461.4928907
2013-03-27,110.8992183
2013-03-28,-5.69994313
2013-03-29,71.14231981
2013-03-30,401.9387329
2013-03-31,852.4940035
2013-04-01,17.98800898
2013-04-02,590.5510333
2013-04-03,-149.1847696
2013-04-04,45.56354816
2013-04-05,339.1612083
2013-04-06,17.66095773
2013-04-07,63.3954462
2013-04-08,1538.571132
2013-04-09,990.5377969
2013-04-10,1818.54217
2013-04-11,848.1164055
2013-04-12,-650.4363785
2013-04-13,1920.45462
2013-04-14,-2159.880358
2013-04-15,-61.21870759
2013-04-16,53.22539943
2013-04-17,11821.79607
2013-04-18,-51.72147066
2013-04-19,835.5734506
2013-04-20,-70.48105497
2013-04-21,-113.9926681
2013-04-22,56.34736326
2013-04-23,333.0926376
2013-04-24,9180.133002
2013-04-25,26030.21042
2013-04-26,8722.417995
2013-04-27,29.87789636
2013-04-28,10266.6653
2013-04-29,9958.265595
2013-04-30,2109.730479
2013-05-01,31.11991238
2013-05-02,116.433323
2013-05-03,1129.560061
2013-05-04,123.6321123
2013-05-05,827.4033526
2013-05-06,148.4667327
2013-05-07,9.56343066
2013-05-08,203.4828969
2013-05-09,-2.81977108
2013-05-10,1860.207307
2013-05-11,57.08022495
2013-05-12,231.2394796
2013-05-13,260.0763079
2013-05-14,461.0114892
2013-05-15,1576.503805
2013-05-16,29.52159766
2013-05-17,2713.611742
2013-05-18,1490.452434
2013-05-19,-272.8000199
2013-05-20,920.4155314
2013-05-21,1030.922127
2013-05-22,466.6592449
2013-05-23,437.0465537
2013-05-24,-398.8205381
2013-05-25,10.26051862
2013-05-26,-3.77170278
2013-05-27,56.32110886
2013-05-28,14.88418755
2013-05-29,1112.029144
2013-05-30,382.0195266
2013-05-31,746.1911462
2013-06-01,255.8880785
2013-06-02,891.8552754
2013-06-03,1324.592765
2013-06-04,1678.801503
2013-06-05,158.4749616
2013-06-06,675.0271961
2013-06-07,-61.18255723
2013-06-08,57.01686085
2013-06-09,124.9280825
2013-06-10,94.10241392
2013-06-11,-14.56269183
2013-06-12,691.533219
2013-06-13,-297.6616604
2013-06-14,3322.344866
2013-06-15,-9.46158607
2013-06-16,190.3979842
2013-06-17,141.6321229
2013-06-18,-51.88822441
2013-06-19,1126.500398
2013-06-20,3902.981046
2013-06-21,350.3798923
2013-06-22,204.2701671
2013-06-23,-22.22512844
2013-06-24,313.9781435
2013-06-25,422.9877898
2013-06-26,2046.646349
2013-06-27,-34.24844141
2013-06-28,711.7538792
2013-06-29,151.3408501
2013-06-30,86.62090055
2013-07-01,951.1303652
2013-07-02,265.2514615
2013-07-03,398.6929712
2013-07-04,1902.626116
2013-07-05,371.7960042
2013-07-06,2441.757448
2013-07-07,-7.75417956
2013-07-08,-1183.036873
2013-07-09,-104.6970181
2013-07-10,1193.733601
2013-07-11,3773.67574
2013-07-12,-0.44919654
2013-07-13,-25.30445392
2013-07-14,157.502186
2013-07-15,1.70631638
2013-07-16,-122.035911
2013-07-17,1037.024176
2013-07-18,193.4155239
2013-07-19,991.0916403
2013-07-20,573.9004429
2013-07-21,52.44244047
2013-07-22,520.8118199
2013-07-23,16.15168724
2013-07-24,188.8794456
2013-07-25,479.6810462
2013-07-26,-31.35493059
2013-07-27,-474.8432944
2013-07-28,100.2207004
2013-07-29,3298.059242
2013-07-30,114.2587174
2013-07-31,558.8078091
2013-08-01,2725.050596
2013-08-02,76.17678364
2013-08-03,25.76127841
2013-08-04,255.9260064
2013-08-05,-75.59044018
2013-08-06,121.0807756
2013-08-07,365.091583
2013-08-08,338.8803071
2013-08-09,173.7362596
2013-08-10,125.7518838
2013-08-11,145.4607055
2013-08-12,-891.074163
2013-08-13,-62.59388353
2013-08-14,247.0062592
2013-08-15,-1958.191728
2013-08-16,1306.677258
2013-08-17,171.2369257
2013-08-18,79.49007082
2013-08-19,1066.220831
2013-08-20,429.950306
2013-08-21,-277.8081262
2013-08-22,120.767652
2013-08-23,1313.347627
2013-08-24,-91.91290823
2013-08-25,2.75870123
2013-08-26,-67.19211687
2013-08-27,124.6906299
2013-08-28,313.7343203
