Time,Amount(BTC)
2009-01-24,500
2009-02-07,800
2009-02-15,550
2009-02-22,400
2009-02-28,350
2009-03-03,400
2009-03-08,1200
2009-03-13,750
2009-03-18,700
2009-03-22,550
2009-03-28,1000
2009-04-05,850
2009-04-12,650
2009-04-19,400
2009-04-26,750
2009-12-05,895.65
2010-02-06,800
2010-02-08,1400
2010-02-17,3233.17
2010-03-16,100
2010-03-18,140
2010-03-22,550
2010-03-24,60
2010-03-25,150
2010-03-26,200
2010-03-29,650
2010-03-30,150
2010-04-02,200
2010-04-04,1850
2010-04-05,2430
2010-04-06,2250
2010-04-07,4050
2010-04-10,300
2010-04-11,5070
2010-04-12,1500
2010-04-13,650
2010-04-14,350
2010-04-15,550
2010-04-16,450
2010-04-19,1991.06
2010-04-20,1050
2010-04-21,500
2010-04-22,250
2010-04-23,400
2010-04-24,2800
2010-04-25,1
2010-04-26,150
2010-04-27,603
2010-04-28,200
2010-04-29,50
2010-04-30,6200
2010-05-03,450
2010-05-04,200
2010-05-06,3500
2010-05-10,700
2010-05-12,6000
2010-05-13,3700
2010-05-14,300
2010-05-18,600
2010-05-21,10
2010-05-24,300
2010-05-26,100
2010-06-02,-3700
2010-06-09,9000
2010-06-11,5
2010-06-12,5
2010-06-13,5
2010-06-14,100
2010-06-15,950
2010-06-16,-50
2010-06-19,30000
2010-06-23,875
2010-07-01,-5
2010-07-03,0
2010-07-04,1099.5
2010-07-05,300
2010-07-12,-125
2010-07-13,-220
2010-07-14,1050
2010-07-15,350
2010-07-16,400.02
2010-07-17,350.95
2010-07-18,100
2010-07-19,605
2010-07-20,50
2010-07-21,100
2010-07-22,1550
2010-07-24,14700
2010-07-26,1715
2010-07-27,70
2010-07-28,55
2010-07-30,215.12
2010-08-02,50
2010-08-04,1650
2010-08-05,300
2010-08-07,350
2010-08-08,0
2010-08-09,9099
2010-08-10,50
2010-08-11,550
2010-08-12,50
2010-08-13,400
2010-08-14,50
2010-08-15,50
2010-08-18,-351
2010-08-20,50
2010-08-22,-15
2010-08-27,100
2010-08-30,100
2010-08-31,100
2010-09-04,100
2010-09-05,50
2010-09-06,200
2010-09-07,100
2010-09-09,0.1
2010-09-10,10.1
2010-09-11,100.1
2010-09-12,250.05
2010-09-13,100.13
2010-09-14,115.7103965
2010-09-15,44.28960352
2010-09-16,100
2010-09-17,5
2010-09-18,-100
2010-09-19,115
2010-09-21,15
2010-09-22,140.06
2010-09-23,15.5
2010-09-24,5
2010-09-25,20
2010-09-26,15
2010-09-27,5
2010-09-28,5
2010-09-29,2615.94
2010-10-01,350
2010-10-04,2311
2010-10-05,21
2010-10-06,1804.24
2010-10-08,510
2010-10-09,-195
2010-10-10,10
2010-10-11,5
2010-10-12,100
2010-10-13,5
2010-10-14,700
2010-10-15,7
2010-10-16,20
2010-10-17,10
2010-10-18,55
2010-10-19,25
2010-10-20,25
2010-10-21,417
2010-10-22,5
2010-10-23,5
2010-10-27,2805
2010-10-28,489.09
2010-10-31,150
2010-11-01,5
2010-11-03,60
2010-11-04,250
2010-11-06,700
2010-11-08,8797.24
2010-11-09,1000
2010-11-11,50
2010-11-12,5
2010-11-23,0.05
2010-12-04,1000
2010-12-07,0.29
2010-12-20,0.24
2010-12-21,0.7
2010-12-22,0.47
2010-12-23,0.25
2010-12-24,1.09
2010-12-25,0.1
2010-12-26,0.08
2010-12-27,0.05
2010-12-28,0.07
2011-01-02,0.25
2011-01-04,58.26
2011-01-05,20.64
2011-01-06,10.02
2011-01-07,15.33
2011-01-08,21.14
2011-01-09,20.48
2011-01-10,12.03
2011-01-11,19.04
2011-01-12,1000.38
2011-01-13,2011.08
2011-01-14,556.52
2011-01-15,1399.16
2011-01-16,0.39
2011-01-17,0.55
2011-01-18,1.51
2011-01-19,0.64
2011-01-20,14.32
2011-01-21,7.07
2011-01-22,6.46
2011-01-23,6.64
2011-01-24,4.69
2011-01-25,56.73
2011-01-26,907.09
2011-01-27,-1.63
2011-01-28,64.98
2011-01-29,769.32
2011-01-30,7.98
2011-01-31,792.17
2011-02-01,1049.69
2011-02-02,10.43
2011-02-03,-182.04
2011-02-04,10.32
2011-02-05,9.49
2011-02-06,14.63
2011-02-07,9.04
2011-02-08,7.23
2011-02-09,216.24
2011-02-10,1809.75
2011-02-11,7.06
2011-02-12,5.55
2011-02-13,2.66
2011-02-14,8.36
2011-02-15,1581.16
2011-02-16,5.92
2011-02-17,0.26
2011-02-18,1.64
2011-02-19,3.61
2011-02-20,5.89
2011-02-21,300.16
2011-02-22,1000.18
2011-02-23,390.21
2011-02-24,100.22
2011-02-25,0.27
2011-02-26,0.18
2011-02-27,0.19
2011-02-28,40.11
2011-03-01,79956.13
2011-03-02,0.61
2011-03-03,522.09
2011-03-04,4.96
2011-03-05,4.22
2011-03-06,203.89
2011-03-07,2069.61
2011-03-08,3.16
2011-03-09,999.4
2011-03-10,2.01
2011-03-11,1003.66
2011-03-12,4.46
2011-03-13,3.4
2011-03-14,2.07
2011-03-15,2.45
2011-03-16,3.45
2011-03-17,52.65
2011-03-18,2.6
2011-03-19,3.03
2011-03-20,3.19
2011-03-21,0.08
2011-03-22,352.83
2011-03-23,87.23
2011-03-24,306.15
2011-03-25,3.87
2011-03-26,2.97
2011-03-27,3.52
2011-03-28,3.12
2011-03-29,23.38
2011-03-30,2.95
2011-03-31,3.7
2011-04-01,2.98
2011-04-02,20003.45
2011-04-03,3.16
2011-04-04,8.01
2011-04-05,8550.17
2011-04-06,2.19
2011-04-07,2.08
2011-04-08,2.95
2011-04-09,4.66
2011-04-10,153.12
2011-04-11,103.19
2011-04-12,2.58
2011-04-13,2.83
2011-04-14,202.22
2011-04-15,197.01
2011-04-16,2.33
2011-04-17,3.21
2011-04-18,502.62
2011-04-19,511.65
2011-04-20,-1070.6
2011-04-21,5
2011-04-24,-2955.06
2011-04-25,3.6
2011-04-26,3.22
2011-04-27,508.82
2011-04-28,2.23
2011-04-29,1.93
2011-04-30,-0.07
2011-05-01,1.06
2011-05-02,1.93
2011-05-03,3.06
2011-05-04,60434.52
2011-05-05,52.86
2011-05-06,2.28
2011-05-07,501.81
2011-05-08,1.45
2011-05-09,2550.34
2011-05-11,1500.12
2011-05-13,1000
2011-05-14,114.61
2011-05-16,3000
2011-05-17,9701
2011-05-18,2027.99
2011-05-19,500
2011-05-20,477.01
2011-05-22,1000.57
2011-05-24,4531.69
2011-05-25,500.07
2011-05-27,2000
2011-05-28,-34.32
2011-05-29,-4614.61
2011-05-30,499.54
2011-05-31,8582.64
2011-06-01,6.93889E-18
2011-06-02,58.97
2011-06-03,7999.55
2011-06-04,0.081
2011-06-06,15.23
2011-06-07,503.44
2011-06-08,501.14
2011-06-09,7.37
2011-06-10,-6.79
2011-06-11,998.13
2011-06-12,1604.41
2011-06-13,10.17
2011-06-14,2208.49474
2011-06-15,21.87
2011-06-16,2077.55
2011-06-17,3429.601834
2011-06-18,11.76025604
2011-06-19,22.87048049
2011-06-20,-56.0807216
2011-06-21,1514.978001
2011-06-22,650.1321856
2011-06-23,1021.644834
2011-06-24,904.8914151
2011-06-25,574.5222265
2011-06-26,161.4416491
2011-06-27,4084.923662
2011-06-28,3997.22
2011-06-29,1680.785439
2011-06-30,171.11
2011-07-01,69.579
2011-07-03,736.3072914
2011-07-04,40.41
2011-07-05,88.26968739
2011-07-06,968.7571598
2011-07-07,24.33281954
2011-07-08,-102.2659818
2011-07-09,582.857896
2011-07-10,4430.237416
2011-07-11,56.46196777
2011-07-12,-17.91605914
2011-07-13,11.9013123
2011-07-14,-8.92573523
2011-07-15,14.72284889
2011-07-16,1045.242995
2011-07-17,544.2248123
