date,tot_price,tot_number,avg_price
2014-05-11,-1.0,-1,-1.0
2014-05-12,-1.0,-1,-1.0
2014-05-13,306900.0,483,635.4037267080745
2014-05-14,220300.0,359,613.6490250696379
2014-05-15,177000.0,287,616.7247386759582
2014-05-16,172700.0,226,764.1592920353983
2014-05-17,205500.0,387,531.0077519379845
2014-05-18,-1.0,-1,-1.0
2014-05-19,-1.0,-1,-1.0
2014-05-20,281200.0,458,613.9737991266376
2014-05-21,160300.0,260,616.5384615384615
2014-05-22,295400.0,462,639.3939393939394
2014-05-23,211000.0,212,995.2830188679245
2014-05-24,189000.0,331,570.9969788519637
2014-05-25,-1.0,-1,-1.0
2014-05-26,50000.0,70,714.2857142857143
2014-05-27,446000.0,530,841.5094339622641
2014-05-28,241000.0,335,719.4029850746268
2014-05-29,286500.0,411,697.0802919708029
2014-05-30,299700.0,363,825.6198347107438
2014-05-31,265900.0,479,555.1148225469728
2014-06-01,-1.0,-1,-1.0
2014-06-02,127000.0,114,1114.0350877192982
2014-06-03,388400.0,521,745.489443378119
2014-06-04,320500.0,387,828.1653746770025
2014-06-05,25000.0,74,337.8378378378378
2014-06-06,207000.0,255,811.7647058823529
2014-06-07,-1.0,-1,-1.0
2014-06-08,-1.0,-1,-1.0
2014-06-09,157000.0,96,1635.4166666666667
2014-06-10,392100.0,445,881.123595505618
2014-06-11,177000.0,190,931.578947368421
2014-06-12,301900.0,218,1384.8623853211009
2014-06-13,264000.0,248,1064.516129032258
2014-06-14,49000.0,58,844.8275862068965
2014-06-15,-1.0,-1,-1.0
2014-06-16,-1.0,-1,-1.0
2014-06-17,94000.0,193,487.04663212435236
2014-06-18,240300.0,221,1087.3303167420815
2014-06-19,49000.0,58,844.8275862068965
2014-06-20,172000.0,178,966.2921348314607
2014-06-21,322300.0,358,900.2793296089385
2014-06-22,-1.0,-1,-1.0
2014-06-23,66400.0,46,1443.4782608695652
2014-06-24,331500.0,376,881.6489361702128
2014-06-25,235000.0,347,677.2334293948127
2014-06-26,186700.0,188,993.0851063829788
2014-06-27,225000.0,368,611.4130434782609
2014-06-28,292800.0,503,582.1073558648111
2014-06-29,-1.0,-1,-1.0
2014-06-30,192000.0,86,2232.5581395348836
2014-07-01,200000.0,452,442.4778761061947
2014-07-02,245000.0,210,1166.6666666666667
2014-07-03,392400.0,504,778.5714285714286
2014-07-04,352300.0,346,1018.2080924855492
2014-07-05,195000.0,332,587.3493975903615
2014-07-06,-1.0,-1,-1.0
2014-07-07,210300.0,182,1155.4945054945056
2014-07-08,411000.0,614,669.3811074918567
2014-07-09,299400.0,372,804.8387096774194
2014-07-10,172200.0,287,600.0
2014-07-11,202000.0,296,682.4324324324324
2014-07-12,95000.0,185,513.5135135135135
2014-07-13,-1.0,-1,-1.0
2014-07-14,-1.0,-1,-1.0
2014-07-15,150000.0,247,607.2874493927126
2014-07-16,25000.0,30,833.3333333333334
2014-07-17,263900.0,212,1244.811320754717
2014-07-18,251300.0,278,903.956834532374
2014-07-19,227000.0,318,713.8364779874214
2014-07-20,-1.0,-1,-1.0
2014-07-21,120000.0,164,731.7073170731708
2014-07-22,143800.0,212,678.3018867924528
2014-07-23,150000.0,208,721.1538461538462
2014-07-24,81400.0,80,1017.5
2014-07-25,133700.0,172,777.3255813953489
2014-07-26,-1.0,-1,-1.0
2014-07-27,-1.0,-1,-1.0
2014-07-28,215800.0,287,751.9163763066202
2014-07-29,210000.0,367,572.2070844686649
2014-07-30,216700.0,385,562.8571428571429
2014-07-31,179000.0,205,873.170731707317
2014-08-01,148800.0,150,992.0
2014-08-02,172600.0,256,674.21875
2014-08-03,-1.0,-1,-1.0
2014-08-04,50000.0,52,961.5384615384615
2014-08-05,125000.0,237,527.4261603375527
2014-08-06,340000.0,334,1017.9640718562874
2014-08-07,287900.0,403,714.3920595533499
2014-08-08,160300.0,184,871.195652173913
2014-08-09,289100.0,278,1039.928057553957
2014-08-10,-1.0,-1,-1.0
2014-08-11,133700.0,150,891.3333333333334
2014-08-12,281300.0,407,691.1547911547912
2014-08-13,186900.0,210,890.0
2014-08-14,191600.0,264,725.7575757575758
2014-08-15,171700.0,302,568.5430463576159
2014-08-16,74400.0,56,1328.5714285714287
2014-08-17,-1.0,-1,-1.0
2014-08-18,245100.0,224,1094.1964285714287
2014-08-19,297400.0,438,678.9954337899543
2014-08-20,99900.0,96,1040.625
2014-08-21,150300.0,118,1273.7288135593221
2014-08-22,195700.0,258,758.5271317829457
2014-08-23,168400.0,176,956.8181818181819
2014-08-24,-1.0,-1,-1.0
2014-08-25,110900.0,104,1066.3461538461538
2014-08-26,243200.0,420,579.047619047619
2014-08-27,199900.0,253,790.1185770750989
2014-08-28,171600.0,155,1107.0967741935483
2014-08-29,281200.0,337,834.4213649851632
2014-08-30,259000.0,355,729.5774647887324
2014-08-31,-1.0,-1,-1.0
2014-09-01,156700.0,173,905.7803468208092
2014-09-02,156600.0,227,689.8678414096917
2014-09-03,105000.0,70,1500.0
2014-09-04,235600.0,196,1202.0408163265306
2014-09-05,324200.0,429,755.7109557109557
2014-09-06,376800.0,383,983.8120104438642
2014-09-07,90000.0,64,1406.25
2014-09-08,-1.0,-1,-1.0
2014-09-09,-1.0,-1,-1.0
2014-09-10,-1.0,-1,-1.0
2014-09-11,214800.0,198,1084.8484848484848
2014-09-12,30000.0,78,384.61538461538464
2014-09-13,25000.0,32,781.25
2014-09-14,-1.0,-1,-1.0
2014-09-15,127000.0,121,1049.5867768595042
2014-09-16,300100.0,334,898.502994011976
2014-09-17,239100.0,224,1067.4107142857142
2014-09-18,110800.0,139,797.1223021582733
2014-09-19,192800.0,172,1120.9302325581396
2014-09-20,234200.0,299,783.2775919732442
2014-09-21,-1.0,-1,-1.0
2014-09-22,187500.0,192,976.5625
2014-09-23,457300.0,496,921.9758064516129
2014-09-24,228700.0,223,1025.560538116592
2014-09-25,156900.0,183,857.3770491803278
2014-09-26,112000.0,169,662.7218934911242
2014-09-27,134800.0,120,1123.3333333333333
2014-09-28,-1.0,-1,-1.0
2014-09-29,85400.0,118,723.728813559322
2014-09-30,192100.0,213,901.8779342723004
2014-10-01,177400.0,201,882.5870646766169
2014-10-02,198200.0,228,869.2982456140351
2014-10-03,275700.0,203,1358.128078817734
2014-10-04,259000.0,231,1121.2121212121212
2014-10-05,-1.0,-1,-1.0
2014-10-06,179800.0,217,828.5714285714286
2014-10-07,512300.0,605,846.7768595041322
2014-10-08,518800.0,386,1344.041450777202
2014-10-09,490300.0,571,858.6690017513134
2014-10-10,-1.0,-1,-1.0
2014-10-11,279800.0,343,815.7434402332361
2014-10-12,-1.0,-1,-1.0
2014-10-13,-1.0,-1,-1.0
2014-10-14,226900.0,282,804.6099290780141
2014-10-15,184400.0,128,1440.625
2014-10-16,189900.0,252,753.5714285714286
2014-10-17,177400.0,126,1407.936507936508
2014-10-18,311300.0,389,800.2570694087403
2014-10-19,-1.0,-1,-1.0
2014-10-20,199600.0,210,950.4761904761905
2014-10-21,250500.0,329,761.3981762917933
2014-10-22,252400.0,285,885.6140350877193
2014-10-23,305000.0,302,1009.933774834437
2014-10-24,247700.0,269,920.817843866171
2014-10-25,260500.0,147,1772.108843537415
2014-10-26,-1.0,-1,-1.0
2014-10-27,223900.0,223,1004.0358744394618
2014-10-28,333300.0,246,1354.878048780488
2014-10-29,240800.0,202,1192.079207920792
2014-10-30,141300.0,174,812.0689655172414
2014-10-31,335700.0,244,1375.8196721311476
2014-11-01,241700.0,188,1285.6382978723404
2014-11-02,-1.0,-1,-1.0
2014-11-03,240300.0,251,957.3705179282869
2014-11-04,290100.0,300,967.0
2014-11-05,273700.0,308,888.6363636363636
2014-11-06,377600.0,458,824.4541484716157
2014-11-07,343300.0,286,1200.3496503496503
2014-11-08,490800.0,481,1020.3742203742204
2014-11-09,-1.0,-1,-1.0
2014-11-10,129200.0,93,1389.247311827957
2014-11-11,316100.0,381,829.6587926509186
2014-11-12,80000.0,96,833.3333333333334
2014-11-13,172900.0,153,1130.0653594771243
2014-11-14,437800.0,305,1435.4098360655737
2014-11-15,490000.0,355,1380.281690140845
2014-11-16,-1.0,-1,-1.0
2014-11-17,104600.0,86,1216.2790697674418
2014-11-18,333000.0,324,1027.7777777777778
2014-11-19,269300.0,229,1175.9825327510916
2014-11-20,255700.0,245,1043.6734693877552
2014-11-21,334000.0,381,876.6404199475065
2014-11-22,186700.0,162,1152.469135802469
2014-11-23,-1.0,-1,-1.0
2014-11-24,302300.0,235,1286.3829787234042
2014-11-25,318200.0,234,1359.8290598290598
2014-11-26,245300.0,244,1005.327868852459
2014-11-27,437100.0,414,1055.7971014492753
2014-11-28,344300.0,360,956.3888888888889
2014-11-29,273900.0,220,1245.0
2014-11-30,-1.0,-1,-1.0
2014-12-01,321900.0,323,996.594427244582
2014-12-02,430600.0,383,1124.2819843342036
2014-12-03,323000.0,295,1094.915254237288
2014-12-04,337500.0,408,827.2058823529412
2014-12-05,222600.0,231,963.6363636363636
2014-12-06,308900.0,235,1314.468085106383
2014-12-07,-1.0,-1,-1.0
2014-12-08,42000.0,54,777.7777777777778
2014-12-09,120000.0,120,1000.0
2014-12-10,74500.0,92,809.7826086956521
2014-12-11,113700.0,122,931.9672131147541
2014-12-12,344400.0,176,1956.8181818181818
2014-12-13,458000.0,343,1335.276967930029
2014-12-14,-1.0,-1,-1.0
2014-12-15,357300.0,289,1236.3321799307957
2014-12-16,276700.0,248,1115.725806451613
2014-12-17,263000.0,160,1643.75
2014-12-18,431900.0,369,1170.4607046070462
2014-12-19,28000.0,81,345.679012345679
2014-12-20,78000.0,117,666.6666666666666
2014-12-21,-1.0,-1,-1.0
2014-12-22,261400.0,269,971.7472118959108
2014-12-23,329500.0,331,995.4682779456193
2014-12-24,39000.0,80,487.5
2014-12-25,293000.0,299,979.9331103678929
2014-12-26,331100.0,272,1217.2794117647059
2014-12-27,208400.0,122,1708.1967213114754
2014-12-28,-1.0,-1,-1.0
2014-12-29,234900.0,234,1003.8461538461538
2014-12-30,336900.0,262,1285.8778625954199
2014-12-31,268900.0,216,1244.9074074074074
2015-01-01,-1.0,-1,-1.0
2015-01-02,85000.0,189,449.7354497354497
2015-01-03,94000.0,183,513.6612021857924
2015-01-04,-1.0,-1,-1.0
2015-01-05,43000.0,115,373.9130434782609
2015-01-06,447000.0,463,965.4427645788337
2015-01-07,150000.0,194,773.1958762886597
2015-01-08,263000.0,385,683.1168831168832
2015-01-09,277000.0,275,1007.2727272727273
2015-01-10,140000.0,148,945.9459459459459
2015-01-11,-1.0,-1,-1.0
2015-01-12,192100.0,367,523.433242506812
2015-01-13,175000.0,190,921.0526315789474
2015-01-14,196900.0,236,834.3220338983051
2015-01-15,399500.0,408,979.1666666666666
2015-01-16,204000.0,120,1700.0
2015-01-17,311400.0,231,1348.051948051948
2015-01-18,-1.0,-1,-1.0
2015-01-19,263400.0,245,1075.1020408163265
2015-01-20,178000.0,71,2507.042253521127
2015-01-21,42000.0,120,350.0
2015-01-22,552600.0,280,1973.5714285714287
2015-01-23,492300.0,284,1733.4507042253522
2015-01-24,593300.0,263,2255.893536121673
2015-01-25,-1.0,-1,-1.0
2015-01-26,310100.0,288,1076.736111111111
2015-01-27,345500.0,216,1599.537037037037
2015-01-28,140600.0,184,764.1304347826087
2015-01-29,26000.0,78,333.3333333333333
2015-01-30,105500.0,172,613.3720930232558
2015-01-31,277100.0,195,1421.025641025641
2015-02-01,-1.0,-1,-1.0
2015-02-02,234000.0,197,1187.8172588832488
2015-02-03,553500.0,401,1380.2992518703243
2015-02-04,56300.0,155,363.2258064516129
2015-02-05,531100.0,243,2185.59670781893
2015-02-06,371700.0,175,2124.0
2015-02-07,290000.0,131,2213.740458015267
2015-02-08,-1.0,-1,-1.0
2015-02-09,400100.0,128,3125.78125
2015-02-10,475400.0,313,1518.849840255591
2015-02-11,90000.0,210,428.57142857142856
2015-02-12,355900.0,150,2372.6666666666665
2015-02-13,343500.0,263,1306.083650190114
2015-02-14,364500.0,312,1168.2692307692307
2015-02-15,-1.0,-1,-1.0
2015-02-16,192200.0,205,937.560975609756
2015-02-17,82000.0,85,964.7058823529412
2015-02-18,15000.0,35,428.57142857142856
2015-02-19,-1.0,-1,-1.0
2015-02-20,-1.0,-1,-1.0
2015-02-21,-1.0,-1,-1.0
2015-02-22,-1.0,-1,-1.0
2015-02-23,-1.0,-1,-1.0
2015-02-24,172000.0,176,977.2727272727273
2015-02-25,209000.0,230,908.695652173913
2015-02-26,480200.0,367,1308.4468664850135
2015-02-27,383000.0,322,1189.44099378882
2015-02-28,103200.0,148,697.2972972972973
2015-03-01,-1.0,-1,-1.0
2015-03-02,42900.0,113,379.646017699115
2015-03-03,297000.0,132,2250.0
2015-03-04,335000.0,266,1259.3984962406016
2015-03-05,348300.0,318,1095.2830188679245
2015-03-06,122000.0,168,726.1904761904761
2015-03-07,83300.0,50,1666.0
2015-03-08,-1.0,-1,-1.0
2015-03-09,-1.0,-1,-1.0
2015-03-10,118000.0,130,907.6923076923077
2015-03-11,153000.0,295,518.6440677966102
2015-03-12,238000.0,186,1279.5698924731182
2015-03-13,210400.0,104,2023.076923076923
2015-03-14,666000.0,352,1892.0454545454545
2015-03-15,-1.0,-1,-1.0
2015-03-16,408100.0,295,1383.3898305084747
2015-03-17,307400.0,177,1736.723163841808
2015-03-18,247500.0,137,1806.5693430656934
2015-03-19,30000.0,73,410.958904109589
2015-03-20,271300.0,174,1559.1954022988505
2015-03-21,356900.0,241,1480.9128630705395
2015-03-22,-1.0,-1,-1.0
2015-03-23,327100.0,255,1282.7450980392157
2015-03-24,450000.0,83,5421.686746987952
2015-03-25,288000.0,187,1540.1069518716577
2015-03-26,374000.0,347,1077.8097982708935
2015-03-27,300700.0,316,951.5822784810126
2015-03-28,278100.0,235,1183.404255319149
2015-03-29,-1.0,-1,-1.0
2015-03-30,93000.0,53,1754.7169811320755
2015-03-31,354100.0,123,2878.8617886178863
2015-04-01,344800.0,314,1098.0891719745223
2015-04-02,294600.0,339,869.0265486725664
2015-04-03,87000.0,200,435.0
2015-04-04,73000.0,112,651.7857142857143
2015-04-05,-1.0,-1,-1.0
2015-04-06,-1.0,-1,-1.0
2015-04-07,75000.0,50,1500.0
2015-04-08,95000.0,88,1079.5454545454545
2015-04-09,158000.0,162,975.3086419753087
2015-04-10,361300.0,96,3763.5416666666665
2015-04-11,103000.0,146,705.4794520547945
2015-04-12,-1.0,-1,-1.0
2015-04-13,316200.0,350,903.4285714285714
2015-04-14,320900.0,144,2228.472222222222
2015-04-15,102000.0,215,474.4186046511628
2015-04-16,64100.0,190,337.36842105263156
2015-04-17,200000.0,138,1449.2753623188405
2015-04-18,436800.0,208,2100.0
2015-04-19,-1.0,-1,-1.0
2015-04-20,326700.0,244,1338.9344262295083
2015-04-21,145600.0,178,817.9775280898876
2015-04-22,55000.0,104,528.8461538461538
2015-04-23,141000.0,260,542.3076923076923
2015-04-24,319100.0,161,1981.9875776397516
2015-04-25,667800.0,253,2639.5256916996045
2015-04-26,-1.0,-1,-1.0
2015-04-27,195500.0,139,1406.474820143885
2015-04-28,124500.0,151,824.5033112582781
2015-04-29,164200.0,166,989.156626506024
2015-04-30,12000.0,35,342.85714285714283
2015-05-01,65000.0,55,1181.8181818181818
2015-05-02,-1.0,-1,-1.0
2015-05-03,-1.0,-1,-1.0
2015-05-04,158000.0,61,2590.1639344262294
2015-05-05,382000.0,356,1073.0337078651685
2015-05-06,-1.0,-1,-1.0
2015-05-07,376000.0,386,974.0932642487047
2015-05-08,347000.0,373,930.2949061662198
2015-05-09,60000.0,95,631.578947368421
2015-05-10,-1.0,-1,-1.0
2015-05-11,-1.0,-1,-1.0
2015-05-12,204000.0,206,990.2912621359224
2015-05-13,105000.0,95,1105.2631578947369
2015-05-14,250000.0,317,788.6435331230284
2015-05-15,170000.0,147,1156.4625850340135
2015-05-16,99100.0,113,876.9911504424779
2015-05-17,-1.0,-1,-1.0
2015-05-18,-1.0,-1,-1.0
2015-05-19,336000.0,577,582.3223570190642
2015-05-20,92000.0,209,440.1913875598086
2015-05-21,83000.0,140,592.8571428571429
2015-05-22,90000.0,149,604.0268456375838
2015-05-23,198000.0,171,1157.8947368421052
2015-05-24,-1.0,-1,-1.0
2015-05-25,-1.0,-1,-1.0
2015-05-26,-1.0,-1,-1.0
2015-05-27,237000.0,255,929.4117647058823
2015-05-28,95000.0,89,1067.4157303370787
2015-05-29,20000.0,40,500.0
2015-05-30,35000.0,75,466.6666666666667
2015-05-31,-1.0,-1,-1.0
2015-06-01,-1.0,-1,-1.0
2015-06-02,193000.0,181,1066.2983425414366
2015-06-03,35000.0,75,466.6666666666667
2015-06-04,118600.0,123,964.2276422764228
2015-06-05,170000.0,197,862.9441624365483
2015-06-06,35000.0,75,466.6666666666667
2015-06-07,-1.0,-1,-1.0
2015-06-08,-1.0,-1,-1.0
2015-06-09,160600.0,146,1100.0
2015-06-10,182000.0,240,758.3333333333334
2015-06-11,351000.0,295,1189.8305084745762
2015-06-12,330000.0,304,1085.5263157894738
2015-06-13,310000.0,189,1640.2116402116403
2015-06-14,-1.0,-1,-1.0
2015-06-15,186800.0,155,1205.1612903225807
2015-06-16,265300.0,312,850.3205128205128
2015-06-17,128100.0,152,842.7631578947369
2015-06-18,340600.0,91,3742.8571428571427
2015-06-19,210000.0,268,783.5820895522388
2015-06-20,214200.0,116,1846.551724137931
2015-06-21,-1.0,-1,-1.0
2015-06-22,164500.0,186,884.4086021505376
2015-06-23,275000.0,234,1175.2136752136753
2015-06-24,113500.0,173,656.0693641618498
2015-06-25,249800.0,186,1343.010752688172
2015-06-26,344400.0,221,1558.3710407239819
2015-06-27,69100.0,129,535.6589147286821
2015-06-28,-1.0,-1,-1.0
2015-06-29,74700.0,133,561.6541353383459
2015-06-30,148500.0,98,1515.3061224489795
2015-07-01,118600.0,264,449.24242424242425
2015-07-02,149000.0,107,1392.5233644859813
2015-07-03,118000.0,168,702.3809523809524
2015-07-04,-1.0,-1,-1.0
2015-07-05,-1.0,-1,-1.0
2015-07-06,102000.0,76,1342.1052631578948
2015-07-07,170300.0,217,784.7926267281106
2015-07-08,325400.0,249,1306.8273092369477
2015-07-09,213400.0,279,764.8745519713261
2015-07-10,54600.0,125,436.8
2015-07-11,160200.0,128,1251.5625
2015-07-12,-1.0,-1,-1.0
2015-07-13,33700.0,58,581.0344827586207
2015-07-14,210900.0,188,1121.8085106382978
2015-07-15,110900.0,229,484.27947598253274
2015-07-16,106800.0,40,2670.0
2015-07-17,13000.0,32,406.25
2015-07-18,185400.0,143,1296.5034965034965
2015-07-19,-1.0,-1,-1.0
2015-07-20,93100.0,70,1330.0
2015-07-21,120000.0,213,563.3802816901408
2015-07-22,127100.0,150,847.3333333333334
2015-07-23,147900.0,114,1297.3684210526317
2015-07-24,239800.0,227,1056.387665198238
2015-07-25,-1.0,-1,-1.0
2015-07-26,-1.0,-1,-1.0
2015-07-27,100700.0,96,1048.9583333333333
2015-07-28,165700.0,219,756.62100456621
2015-07-29,156400.0,185,845.4054054054054
2015-07-30,273700.0,304,900.328947368421
2015-07-31,155900.0,156,999.3589743589744
2015-08-01,60000.0,175,342.85714285714283
2015-08-02,-1.0,-1,-1.0
2015-08-03,75000.0,14,5357.142857142857
2015-08-04,178000.0,132,1348.4848484848485
2015-08-05,-1.0,-1,-1.0
2015-08-06,125200.0,150,834.6666666666666
2015-08-07,114900.0,179,641.8994413407821
2015-08-08,87000.0,104,836.5384615384615
2015-08-09,-1.0,-1,-1.0
2015-08-10,115900.0,130,891.5384615384615
2015-08-11,164900.0,259,636.6795366795367
2015-08-12,112100.0,184,609.2391304347826
2015-08-13,102400.0,130,787.6923076923077
2015-08-14,126900.0,167,759.8802395209581
2015-08-15,132000.0,140,942.8571428571429
2015-08-16,-1.0,-1,-1.0
2015-08-17,103700.0,168,617.2619047619048
2015-08-18,104200.0,250,416.8
2015-08-19,162600.0,254,640.1574803149606
2015-08-20,115800.0,120,965.0
2015-08-21,135900.0,195,696.9230769230769
2015-08-22,81900.0,92,890.2173913043479
2015-08-23,-1.0,-1,-1.0
2015-08-24,79200.0,116,682.7586206896551
2015-08-25,103100.0,282,365.60283687943263
2015-08-26,67000.0,91,736.2637362637363
2015-08-27,30000.0,75,400.0
2015-08-28,140400.0,167,840.7185628742515
2015-08-29,262300.0,381,688.4514435695538
2015-08-30,-1.0,-1,-1.0
2015-08-31,60600.0,46,1317.391304347826
2015-09-01,100000.0,116,862.0689655172414
2015-09-02,-1.0,-1,-1.0
2015-09-03,214100.0,206,1039.3203883495146
2015-09-04,134000.0,154,870.1298701298701
2015-09-05,119000.0,134,888.0597014925373
2015-09-06,-1.0,-1,-1.0
2015-09-07,125300.0,88,1423.8636363636363
2015-09-08,286400.0,267,1072.6591760299625
2015-09-09,173400.0,190,912.6315789473684
2015-09-10,84700.0,250,338.8
2015-09-11,124200.0,169,734.9112426035502
2015-09-12,133000.0,174,764.3678160919541
2015-09-13,-1.0,-1,-1.0
2015-09-14,149200.0,223,669.0582959641256
2015-09-15,110500.0,192,575.5208333333334
2015-09-16,105000.0,92,1141.304347826087
2015-09-17,202900.0,172,1179.6511627906978
2015-09-18,153100.0,235,651.4893617021277
2015-09-19,146200.0,176,830.6818181818181
2015-09-20,-1.0,-1,-1.0
2015-09-21,108100.0,92,1175.0
2015-09-22,128000.0,131,977.0992366412214
2015-09-23,346600.0,254,1364.5669291338584
2015-09-24,231000.0,193,1196.8911917098446
2015-09-25,191000.0,166,1150.6024096385543
2015-09-26,204900.0,164,1249.3902439024391
2015-09-27,-1.0,-1,-1.0
2015-09-28,-1.0,-1,-1.0
2015-09-29,-1.0,-1,-1.0
2015-09-30,-1.0,-1,-1.0
2015-10-01,136000.0,88,1545.4545454545455
2015-10-02,-1.0,-1,-1.0
2015-10-03,30000.0,24,1250.0
2015-10-04,-1.0,-1,-1.0
2015-10-05,233500.0,249,937.7510040160643
2015-10-06,203300.0,306,664.3790849673203
2015-10-07,227400.0,318,715.0943396226415
2015-10-08,287700.0,290,992.0689655172414
2015-10-09,147200.0,277,531.4079422382672
2015-10-10,127100.0,152,836.1842105263158
2015-10-11,-1.0,-1,-1.0
