Date,High,Low,Open,Close,Volume,MA200,EMA130,PercentB20,RSI14,MFI14,MACD,fast_k,slow_d,Tommorow_Close,Tommorow_IncRatio,Tommorow_Pos
2017-01-01,1003.0800170898438,958.698974609375,963.6580200195312,998.3250122070312,147775008.0,676.4393765258789,726.854930333611,0.8969904316393745,0.8598018006402329,0.7895057619022149,-73.60934391034391,0.9776508523004366,0.9341683412154912,1021.75,1.023165032743954,1.0
2017-01-02,1031.3900146484375,996.7020263671876,998.6170043945312,1021.75,222184992.0,677.7165866088867,731.3571453298267,0.9135351513008004,0.8694079747861244,0.8053425311854318,-76.36239861104775,0.9598153575443968,0.9518890044789406,1043.8399658203125,1.02176976386635,1.0
2017-01-03,1044.0799560546875,1021.5999755859376,1021.5999755859376,1043.8399658203125,185168000.0,679.1912414550782,736.127875614151,0.921942993510516,0.8750229871889763,0.8147512686775674,-79.33332150309855,0.999019146597671,0.9788284521475016,1154.72998046875,1.105639557138641,1.0
2017-01-04,1159.4200439453125,1044.4000244140625,1044.4000244140625,1154.72998046875,344945984.0,681.1837564086914,742.5187477084817,1.098171274742841,0.8991471255552462,0.833258592088382,-84.06601607603011,0.9855810611679975,0.9814718551033552,1013.3800048828124,0.8760730870588771,0.0
2017-01-05,1191.0999755859375,910.4169921875,1156.72998046875,1013.3800048828124,510199008.0,682.4317514038086,746.6540342460835,0.7221847780209033,0.6452074823033601,0.6735146217445761,-86.05516367279893,0.4592851623585171,0.8146284567080619,902.2009887695312,0.8895340328289034,0.0
2017-01-06,1046.81005859375,883.9439697265625,1014.239990234375,902.2009887695312,351876000.0,683.2566262817382,749.0287970058663,0.4178958092102754,0.4825313368818412,0.572667991159502,-85.9588202851686,0.12102186302872762,0.5219626955184141,908.5850219726562,1.005642607435074,1.0
2017-01-07,908.5850219726562,823.5560302734375,903.4869995117188,908.5850219726562,279550016.0,684.4662915039063,751.4647700023893,0.41359185765378464,0.508884094384665,0.5505203691971222,-85.93587695033807,0.23134374211204548,0.2705502558330968,911.198974609375,1.0033297402560657,1.0
2017-01-08,942.7239990234376,887.2490234375,908.1749877929688,911.198974609375,158715008.0,686.0417062377929,753.9034602439635,0.3958552514328138,0.5136648127876992,0.5932576547747562,-85.91680400898179,0.23845568796248323,0.19694043103441886,902.8280029296876,0.9885944879863714,0.0
2017-01-09,913.6859741210938,879.8070068359375,913.2440185546876,902.8280029296876,141876992.0,687.4359613037109,756.1771174713332,0.33998238249965823,0.4956239731294481,0.5551323735601205,-85.70897427921022,0.21568025719713607,0.228493229090555,907.6790161132812,1.005805387236494,1.0
2017-01-10,914.8729858398438,901.0599975585938,902.4400024414062,907.6790161132812,115808000.0,688.647861328125,758.490123644754,0.33401614940678354,0.4757261239025889,0.5480613956575358,-85.55311316686277,0.22887871481141978,0.22767155332367975,777.7570190429688,0.8564521315106116,0.0
2017-01-11,919.447998046875,762.7650146484375,908.114990234375,777.7570190429688,310928992.0,689.2110314941406,758.7842747304667,-0.05845419755790652,0.3383248003733541,0.47122796330949035,-83.08564346578464,0.03500065547233907,0.15985320916029838,804.833984375,1.038257028297118,1.0
2017-01-12,826.2459716796875,755.7559814453125,775.177978515625,804.833984375,222326000.0,690.088366394043,759.4873237583998,0.08377673326986151,0.36771505927887627,0.4121843667708663,-81.16830152567934,0.11273384631518381,0.12553773886631428,823.9840087890625,1.0251910877434336,1.0
2017-01-13,829.0009765625,780.0029907226562,803.7369995117188,823.9840087890625,168968000.0,690.931911315918,760.4720060080906,0.16763345893292664,0.3935008479605141,0.46201265424897797,-79.63700889910274,0.15672210542018172,0.10148553573590162,818.4119873046875,0.9918437780782738,0.0
2017-01-14,835.0850219726562,812.4559936523438,825.1420288085938,818.4119873046875,93063296.0,691.788966369629,761.3565859066026,0.17657821546861435,0.3877678360585731,0.45878243540667224,-78.04105104641019,0.14392298206171147,0.1377929779323591,821.7979736328125,1.0044685943216274,1.0
2017-01-15,823.3070068359375,812.8709716796875,818.1420288085938,821.7979736328125,71013600.0,692.6985061645507,762.279355217109,0.2086637298472264,0.3567757330303732,0.42350091254622974,-76.54124359425794,0.15170070812132783,0.15078193186774044,831.5339965820312,1.0118656340237697,1.0
